"","year","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"22",2000,0.10244799560668,0.517470740083865,4.46932837034701,3.17380037687795,2.31082845704123,0.344543592203296,0.0358972881230103,0.00802799551720228,0.000415852751478346,8.69976078715524e-06,2.49063664546008e-08,NA,NA,NA,NA,NA
"23",2001,0.0378685244771387,0.270567494468742,1.16211227712118,1.10464070258899,1.08306599240115,0.416159295030644,0.0407867733208671,7.64209383204024e-05,NA,NA,NA,NA,NA,NA,NA,NA
"24",2002,0.0240330311664353,0.825459014482698,2.17816229130865,0.523637692484834,0.475152277011592,0.172918088222424,0.0199042386306418,0.000704008876778811,NA,NA,NA,NA,NA,NA,NA,NA
"25",2003,0.896227563790844,1.07233399501641,2.01802476634666,0.565549247665255,0.356687394599476,0.0572116679947045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2005,0.0427496514373828,0.0443977765444682,0.30484993432762,0.115145022785826,0.178675154040256,0.0733265450618805,0.0215642633720707,0.00339449070595999,NA,NA,NA,NA,NA,NA,NA,NA
"28",2006,0.166908869185147,0.138681897399744,0.554928005399563,0.347199044610293,0.304194876827753,0.0554082625880799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2007,0.255453074154264,0.385949052539383,3.14063545952515,1.4504855242831,0.995284408855471,0.21357139409516,0.0243624755336134,0.000307024178848415,NA,NA,NA,NA,NA,NA,NA,NA
"30",2008,0.108370843287308,0.165962725561343,0.741011245040923,0.760317322616969,0.814775494968697,0.219934833482369,0.0346587130940315,0.00137646907658371,NA,NA,NA,NA,NA,NA,NA,NA
"31",2009,0.0798442763027938,0.957007005248617,1.10619249064175,0.415312865274893,0.530151084289338,0.187355325852996,0.0233913071971842,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2010,0.00257530417990155,0.300735124742038,1.72263360055306,0.672269987353992,0.66070220539113,0.14034565475402,0.0266764868761827,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2011,0.000300930677668986,0.147374914841459,1.28467100959407,0.557477278611912,0.550185575698217,0.0842193598426806,0.0174244922223872,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2012,0.165665842601192,0.339793209453364,1.88784305421468,0.758195024659444,0.696397865004167,0.195872120108479,0.0212838166777409,0.00863707290165435,NA,NA,NA,NA,NA,NA,NA,NA
"35",2013,0.00161840147130205,0.272193038371111,0.613367549732968,0.356734976571948,0.183053839100979,0.102865764772763,0.0278181499779544,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2014,0.0256389480212561,0.235274421510758,1.64234411915822,1.36056250574498,1.09530838624121,0.141769175899594,0.0236060872160809,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2015,0.516876671495732,0.524206918766392,1.31540061907146,0.577624341079489,0.58716584160352,0.215260060583257,0.0489633321133071,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2016,0.0202542608593076,0.289380254566051,1.35901509918357,0.605012653618739,0.728642696693018,0.264154069183994,0.086879077816127,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2017,0.0240893480913579,0.482744861761101,2.15742026692671,0.616060977247494,0.343623277631403,0.211270434923433,0.0567712591637567,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2018,0.00921229219033986,0.0632398067583221,0.307933930958027,0.260435533454343,0.298541326195516,0.0977779260776936,0.0302403869753345,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2019,0.0179521729708922,1.27692112281573,1.63337200139598,0.710898948645067,0.546871800899231,0.252483827753693,0.0748931172530788,NA,NA,NA,NA,NA,NA,NA,NA,NA
